epoch,train_clsf_loss,train_clsf_acc,val_clsf_loss,val_clsf_acc,test_clsf_loss,test_clsf_acc,lr
1,1.3813070412243114,0.554852243035366,1.2674400679713427,0.6023065833733782,1.300808052594796,0.5893335886633474,0.0004969221461291213
2,1.1074597811698914,0.6477201633974902,1.2486540589981043,0.6015377222489188,1.285155491005274,0.5935465338950594,0.00048776452186678965
3,0.9470939672694487,0.6975858388841865,1.2120320714247566,0.6237385872176838,1.254855071388867,0.6135580237456913,0.0004727530657242985
4,0.7734721240576575,0.7493651786700033,1.2865533446532382,0.6127823161941375,1.3236480709785978,0.6036001531980084,0.00045225814297936905
5,0.5731944694238551,0.8101608214035991,1.4366750570743603,0.6135511773185969,1.4852043218605366,0.599195710455764,0.000426785407959086
6,0.3876199806087157,0.8710116659919773,1.599677066216384,0.6004805382027871,1.6621662719365693,0.5885675986212179,0.0003969633284476903
7,0.23436270615633797,0.9238398410186582,1.793133726101664,0.6012493993272465,1.8557139483962832,0.5902910762160092,0.00036352768001922435
8,0.13924802957212223,0.955304898244581,2.1438269306752957,0.6029793368572801,2.246432295159698,0.5903868249712754,0.0003273033928535752
9,0.09305106876089292,0.9714422404592794,2.224781216342308,0.6052859202306583,2.3465772663117916,0.5915358100344695,0.00028918419891445116
10,0.052773233077981895,0.9836970522209546,2.4557798481858275,0.615185007208073,2.559245592239304,0.6073343546533895,0.00025011058163768637
11,0.03152496069669723,0.9904868803591801,2.5601448666757256,0.6163382988947621,2.6644775384415706,0.6063768671007277,0.0002110465721590284
12,0.018240019820685335,0.9940381996835094,2.6468063810477744,0.6218164344065353,2.743782722096204,0.6147070088088855,0.0001729559645689458
13,0.012309174131711616,0.9952526404887204,2.73077276826535,0.6197020663142719,2.836025945531231,0.6132707774798928,0.0001367785370158574
14,0.008483184182687717,0.9962278732565414,2.739497416549895,0.6235463719365689,2.8403736508609416,0.61710072769054,0.00010340686533489512
15,0.00655994633650955,0.9968902955139293,2.780522251633255,0.6249879865449304,2.9043653618554326,0.6180582152432018,7.366430126041519e-05
16,0.004629232564543867,0.9975895190078387,2.8130532871468144,0.6225852955309947,2.9285452598723722,0.6156644963615473,4.828465854766019e-05
17,0.003594846412922968,0.9980863357008796,2.8450819874313917,0.6215281114848631,2.9702059217268184,0.6163347376484106,2.789410819113875e-05
18,0.0027761449768920156,0.9986015530121812,2.8647849856518257,0.624219125420471,2.989169115492413,0.6152815013404825,1.299572942407073e-05
19,0.0022539891187026277,0.9988591616678321,2.894117123046098,0.6243152330610283,3.0209287563442317,0.6159517426273459,3.957097659346196e-06
20,0.0019794082646395136,0.9991167703234829,2.8583450421869956,0.6222969726093225,2.984123059042292,0.6163347376484106,1.001215604496245e-06
