epoch,train_con_loss,train_sim_acc,val_con_loss,val_sim_acc,test_con_loss,test_sim_acc,lr
1,361.09372099034925,0.6143046406359254,320.07593443335554,0.6351753964440173,319.9147275599038,0.6369207200306396,0.0004969221461291213
2,301.5858161477482,0.6707945386965002,307.67724944324027,0.6608361364728496,301.1094124956829,0.6666985829184221,0.00048776452186678965
3,277.60573651482076,0.6931880911198617,288.3782132776772,0.6864007688611244,286.44803945029656,0.6880505553427806,0.0004727530657242985
4,260.38467952952664,0.7098774518823833,283.4769878852658,0.6812109562710236,279.89281854396916,0.6820183837610111,0.00045225814297936905
5,245.66022740981157,0.7252787693666507,271.41469722840844,0.7061028351753964,268.3528631256848,0.7079662964381463,0.000426785407959086
6,231.40659793629365,0.7406248849961359,278.14276997636006,0.6862085535800097,274.5565357673459,0.6819226350057449,0.0003969633284476903
7,216.82530786850873,0.7550509697125823,267.0275489993212,0.7023546371936569,270.68318529826837,0.69408272692455,0.00036352768001922435
8,203.10311401367187,0.7702130791594598,258.00219968470134,0.7227294569918309,264.0191395457198,0.7137112217541172,0.0003273033928535752
9,188.79667852065143,0.7856879991167703,264.833770007622,0.7093704949543489,265.32045075951555,0.7084450402144772,0.00028918419891445116
10,176.61403029497933,0.798145217679314,261.75960522163206,0.7332051898125901,262.72510193615426,0.7275947912677135,0.00025011058163768637
11,166.14950755399815,0.810013616457513,260.93960757371855,0.7325324363286881,265.4065493141733,0.7243393335886633,0.0002110465721590284
12,156.15008281034582,0.8210171861774556,262.5625346113996,0.7160980297933686,265.84714722051854,0.7145729605515129,0.0001729559645689458
13,144.72219713996438,0.834228830088691,258.68860830911774,0.72051898125901,262.2765682499583,0.7156261968594408,0.0001367785370158574
14,137.3965645464729,0.843410738600817,261.91538973552423,0.7162902450744835,263.0313326207603,0.7090195327460743,0.00010340686533489512
15,131.92824622659123,0.8498877562286092,261.6623193694324,0.7177318596828448,261.63948849933905,0.7103600153198009,7.366430126041519e-05
16,128.46512455659754,0.855113531814669,261.87957856713274,0.7134070158577607,263.6651241023366,0.7123707391803906,4.828465854766019e-05
17,122.83241255816291,0.8613697420233319,262.9794388747797,0.7163863527150408,263.86474181384574,0.7116047491382612,2.789410819113875e-05
18,121.89227594712202,0.8645898502189674,262.50402450561523,0.712349831811629,264.50965881347656,0.7033703561853696,1.299572942407073e-05
19,118.26775060317095,0.8665403157546093,262.7844029868521,0.7144641999038923,264.7344901852491,0.7027001148985064,3.957097659346196e-06
20,120.2674744460162,0.8673683435763442,261.6669299428056,0.708505526189332,263.61954312208223,0.6992531597089238,1.001215604496245e-06
